Tahun,JAKARTA PUSAT,JAKARTA UTARA,JAKARTA SELATAN,JAKARTA TIMUR,JAKARTA BARAT,Sumber,Column 1
2010,902973,1645659,2062232,2693896,2281945,https://jakarta.bps.go.id/id/statistics-table/1/MTM2IzE=/penduduk-dan-laju-pertumbuhan-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta--2010-dan-2020.html,
2011,906752,1697871,2126833,2775956,2362656,https://jakarta.bps.go.id/id/publication/2012/08/16/ec9b033c35df0d65b37a8997/jakarta-dalam-angka-2012.html,
2012,908829,1715564,2148261,2801784,2395130,https://jakarta.bps.go.id/id/publication/2013/08/16/3881d1fcb10d7acb8e88ec52/jakarta-dalam-angka-2013.html,
2013,906601,1711036,2141941,2791072,2396585,https://jakarta.bps.go.id/id/statistics-table/2/MTI3MCMy/jumlah-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta-.html,
2014,910381,1729444,2164070,2817994,2430410,https://jakarta.bps.go.id/id/statistics-table/2/MTI3MCMy/jumlah-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta-.html,
2015,914182,1747315,2185711,2843816,2463560,https://jakarta.bps.go.id/id/statistics-table/2/MTI3MCMy/jumlah-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta-.html,
2016,917754,1764614,2206732,2868910,2496002,https://jakarta.bps.go.id/id/statistics-table/2/MTI3MCMy/jumlah-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta-.html,
2017,921344,1781316,2226830,2892783,2528065,https://jakarta.bps.go.id/id/statistics-table/2/MTI3MCMy/jumlah-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta-.html,
2018,924686,1797292,2246137,2916018,2559362,https://jakarta.bps.go.id/id/statistics-table/2/MTI3MCMy/jumlah-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta-.html,
2019,928109,1812915,2264699,2937859,2589933,https://jakarta.bps.go.id/id/statistics-table/2/MTI3MCMy/jumlah-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta-.html,
2020,1056896,1778981,2226812,3037139,2434511,https://jakarta.bps.go.id/id/statistics-table/2/MTI3MCMy/jumlah-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta-.html,
2021,1057465,1788981,2232442,3051866,2446687,https://jakarta.bps.go.id/id/statistics-table/2/MTI3MCMy/jumlah-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta-.html,
2022,1053482,1799220,2234262,3066074,2458707,https://jakarta.bps.go.id/id/statistics-table/2/MTI3MCMy/jumlah-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta-.html,
2023,1049314,1808985,2235606,3079618,2470054,https://jakarta.bps.go.id/id/statistics-table/2/MTI3MCMy/jumlah-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta-.html,
2024,1044300,1815600,2230700,3086000,2479600,https://jakarta.bps.go.id/id/statistics-table/3/V1ZSbFRUY3lTbFpEYTNsVWNGcDZjek53YkhsNFFUMDkjMw==/jumlah-penduduk--laju-pertumbuhan-penduduk--distribusi-persentase-penduduk--kepadatan-penduduk--rasio-jenis-kelamin-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta--2020.html?year=2025,
2025,1038396,1819009,2219225,3085058,2487199,https://jakarta.bps.go.id/id/statistics-table/3/V1ZSbFRUY3lTbFpEYTNsVWNGcDZjek53YkhsNFFUMDkjMw==/jumlah-penduduk--laju-pertumbuhan-penduduk--distribusi-persentase-penduduk--kepadatan-penduduk--rasio-jenis-kelamin-penduduk-menurut-kabupaten-kota-di-provinsi-dki-jakarta--2020.html?year=2025,
