tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical_parameter,target_kategori,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_gusts_10m_max,winddirection_10m_dominant,relative_humidity_2m_max,relative_humidity_2m_min,cloud_cover_max,cloud_cover_min,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,surface_pressure_max,surface_pressure_min,washout_effect,ventilation_proxy,rainy_day,is_holiday_nasional,nama_libur,is_weekend,day_name,is_working_day,tahun,Total_Penduduk
2010-01-01,DKI1,60.0,,4.0,73.0,27.0,14.0,73.0,CO,SEDANG,29.4,24.4,4.0,14.0,16.0,246.0,16.24,26.6,81.0,100.0,1007.5,38.2,246.0,90.0,69.0,100.0,99.0,21.0,10.5,11.9,6.9,1009.3,1005.1,42.0,0.0104218362282878,1.0,1.0,New Year's Day,0.0,Friday,0,2010.0,902973
2010-01-02,DKI1,32.0,,2.0,16.0,33.0,9.0,33.0,O3,BAIK,30.8,24.0,6.5,4.0,14.7,238.0,19.8,26.9,82.0,99.0,1008.1,31.3,238.0,93.0,69.0,100.0,91.0,16.5,7.7,9.0,4.4,1009.9,1006.0,50.05,0.0076381311377839,1.0,0.0,,1.0,Saturday,0,2010.0,902973
2010-01-03,DKI1,27.0,,2.0,19.0,20.0,9.0,27.0,PM10,BAIK,30.4,24.3,7.6,11.0,12.6,244.0,17.32,26.7,83.0,97.0,1008.5,26.6,244.0,91.0,70.0,100.0,81.0,18.4,9.4,11.9,6.5,1010.5,1006.5,71.44,0.00932077342588,1.0,0.0,,1.0,Sunday,0,2010.0,902973
2010-01-04,DKI1,22.0,,2.0,16.0,15.0,6.0,22.0,PM10,BAIK,30.3,25.4,0.9,5.0,19.3,239.0,20.43,27.4,81.0,69.0,1007.5,34.2,239.0,91.0,70.0,100.0,17.0,23.8,13.5,14.4,9.6,1009.1,1005.1,12.15,0.0133995037220843,0.0,0.0,,0.0,Monday,1,2010.0,902973
2010-01-05,DKI1,25.0,,2.0,17.0,15.0,8.0,25.0,PM10,BAIK,29.9,24.8,14.3,7.0,15.9,247.0,15.86,26.4,83.0,100.0,1007.7,32.0,247.0,89.0,72.0,100.0,99.0,21.6,11.1,10.4,7.8,1009.1,1006.0,158.73,0.0110151830902054,1.0,0.0,,0.0,Tuesday,1,2010.0,902973
2010-01-06,DKI1,30.0,,3.0,22.0,19.0,11.0,30.0,PM10,BAIK,29.2,23.8,13.2,10.0,16.2,236.0,17.02,26.2,83.0,99.0,1008.7,34.6,236.0,92.0,72.0,100.0,94.0,19.0,9.0,7.9,3.5,1010.3,1007.3,118.8,0.008922375334589,1.0,0.0,,0.0,Wednesday,1,2010.0,902973
2010-01-07,DKI1,41.0,,4.0,24.0,27.0,13.0,41.0,PM10,BAIK,30.2,24.3,3.4,5.0,11.8,246.0,21.24,26.9,81.0,83.0,1008.5,27.0,246.0,92.0,71.0,100.0,53.0,16.1,7.7,8.3,3.2,1009.8,1005.9,26.18,0.0076351016360932,1.0,0.0,,0.0,Thursday,1,2010.0,902973
2010-01-08,DKI1,64.0,,8.0,51.0,19.0,15.0,64.0,PM10,SEDANG,27.0,23.9,14.0,19.0,12.7,302.0,10.73,25.1,90.0,99.0,1009.5,25.2,302.0,96.0,80.0,100.0,94.0,13.9,4.7,7.6,1.5,1011.2,1007.8,65.8,0.004655770183259,1.0,0.0,,0.0,Friday,1,2010.0,902973
2010-01-09,DKI1,55.0,,5.0,39.0,23.0,16.0,55.0,PM10,SEDANG,28.4,23.5,22.4,20.0,9.3,275.0,13.24,25.2,89.0,100.0,1009.8,29.5,275.0,96.0,74.0,100.0,98.0,20.8,5.5,10.1,0.8,1011.7,1007.5,123.2,0.0054466230936819,1.0,0.0,,1.0,Saturday,0,2010.0,902973
2010-01-10,DKI1,34.0,,5.0,23.0,26.0,12.0,34.0,PM10,BAIK,28.2,23.2,7.7,18.0,12.9,282.0,16.77,25.8,85.0,94.0,1010.1,28.4,282.0,97.0,70.0,100.0,74.0,17.5,6.1,9.0,1.5,1011.7,1007.7,46.97,0.006039006039006,1.0,0.0,,1.0,Sunday,0,2010.0,902973
2010-01-11,DKI1,55.0,,10.0,32.0,23.0,16.0,55.0,PM10,SEDANG,29.4,23.8,6.2,7.0,14.0,262.0,18.32,26.2,84.0,88.0,1010.0,33.1,262.0,93.0,74.0,100.0,61.0,18.1,8.3,8.6,4.9,1011.5,1007.5,51.46000000000001,0.0082178217821782,1.0,0.0,,0.0,Monday,1,2010.0,902973
2010-01-12,DKI1,45.0,,4.0,33.0,9.0,17.0,45.0,PM10,BAIK,28.3,23.9,11.1,13.0,19.8,257.0,15.44,25.6,84.0,100.0,1010.2,40.0,257.0,92.0,74.0,100.0,99.0,26.4,14.0,17.6,9.7,1012.0,1008.0,155.4,0.0138586418530983,1.0,0.0,,0.0,Tuesday,1,2010.0,902973
2010-01-13,DKI1,28.0,,5.0,29.0,10.0,12.0,29.0,CO,BAIK,26.5,23.6,14.0,24.0,14.5,263.0,8.86,24.7,90.0,98.0,1011.0,33.1,263.0,94.0,84.0,100.0,87.0,27.5,12.2,20.5,9.4,1012.9,1009.2,170.79999999999998,0.0120672601384767,1.0,0.0,,0.0,Wednesday,1,2010.0,902973
2010-01-14,DKI1,38.0,,6.0,28.0,15.0,10.0,38.0,PM10,BAIK,27.8,23.5,9.7,22.0,20.3,271.0,18.26,25.1,86.0,86.0,1011.9,47.9,271.0,94.0,75.0,100.0,26.0,32.5,13.5,20.2,9.1,1013.4,1009.8,130.95,0.0133412392528906,1.0,0.0,,0.0,Thursday,1,2010.0,902973
2010-01-15,DKI1,35.0,,5.0,33.0,17.0,17.0,35.0,PM10,BAIK,26.8,23.6,8.2,20.0,13.0,268.0,8.6,24.7,88.0,89.0,1011.9,36.0,268.0,93.0,81.0,100.0,44.0,23.9,9.8,15.1,4.7,1013.5,1009.8,80.36,0.0096847514576539,1.0,0.0,,0.0,Friday,1,2010.0,902973
2010-01-16,DKI1,54.0,,5.0,38.0,17.0,18.0,54.0,PM10,SEDANG,28.3,23.5,8.7,15.0,16.9,268.0,17.79,25.5,85.0,91.0,1011.2,41.0,268.0,93.0,75.0,100.0,64.0,26.3,11.0,14.8,7.0,1012.3,1009.3,95.7,0.010878164556962,1.0,0.0,,1.0,Saturday,0,2010.0,902973
2010-01-17,DKI1,44.0,,4.0,28.0,22.0,14.0,44.0,PM10,BAIK,28.4,23.6,3.8,19.0,17.6,272.0,19.55,25.5,85.0,67.0,1011.0,47.9,272.0,92.0,77.0,100.0,30.0,30.7,11.3,17.3,6.8,1012.4,1008.7,42.94,0.0111770524233432,1.0,0.0,,1.0,Sunday,0,2010.0,902973
2010-01-18,DKI1,38.0,,4.0,29.0,24.0,15.0,38.0,PM10,BAIK,28.5,24.0,3.2,17.0,15.9,287.0,20.33,25.9,85.0,82.0,1010.4,40.7,287.0,93.0,76.0,100.0,51.0,25.3,8.9,9.7,4.0,1011.9,1007.7,28.480000000000004,0.0088083927157561,1.0,0.0,,0.0,Monday,1,2010.0,902973
2010-01-19,DKI1,40.0,,3.0,43.0,23.0,23.0,43.0,CO,BAIK,27.2,23.7,21.0,23.0,16.6,299.0,15.3,25.2,88.0,94.0,1010.6,33.5,299.0,95.0,79.0,100.0,72.0,21.6,7.2,11.9,0.4,1012.3,1008.9,151.20000000000002,0.0071244805066297,1.0,0.0,,0.0,Tuesday,1,2010.0,902973
