tanggal,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_gusts_10m_max,winddirection_10m_dominant,relative_humidity_2m_max,relative_humidity_2m_min,cloud_cover_max,cloud_cover_min,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,surface_pressure_max,surface_pressure_min,stasiun,is_holiday_nasional,nama_libur,is_weekend,day_name,dayofweek,month,dayofyear,quarter,rainy_day,washout_effect,ventilation_proxy,Total_Penduduk,ndvi
2025-09-01,32.93,24.33,0.9,3,14.336861,144.46223,21.2616,27.969582,74.083336,40.208332,1007.7607,30.239998,144.46223,91.0,50.0,100.0,0.0,13.905,6.213839,3.6,1.9386592,1009.4887,1005.3179,DKI1,0,Hari Kerja,0,Monday,0,9,244,3,1,12.903174900000002,195.02530335786582,921344.0,0.25399321933962266
2025-09-02,33.63,24.83,0.0,0,17.727943,123.690094,21.3624,28.3675,68.541664,37.5,1008.1121,35.28,123.690094,86.0,45.0,100.0,0.0,16.859999,7.727409,3.96,1.8,1010.0973,1005.32886,DKI1,0,Hari Kerja,0,Tuesday,1,9,245,3,0,0.0,260.74292340510294,921344.0,0.25399321933962266
2025-09-03,35.280003,24.13,0.0,0,21.900904,161.56496,23.6808,28.532084,66.958336,37.5,1008.6038,43.92,161.56496,86.0,37.0,97.0,0.0,18.644999,8.613396,3.2399998,1.835647,1010.6986,1006.1254,DKI1,0,Hari Kerja,0,Wednesday,2,9,246,3,0,0.0,329.89671364944314,921344.0,0.25399321933962266
2025-09-04,33.98,24.279999,0.0,0,16.58346,180.0,22.8348,28.444582,71.291664,41.541668,1008.2624,34.92,180.0,87.0,44.0,100.0,0.0,15.21,6.6192055,1.8,0.8049845,1010.5998,1005.72314,DKI1,0,Hari Kerja,0,Thursday,3,9,247,3,0,0.0,234.53624507774148,921344.0,0.25399321933962266
2025-09-05,32.73,24.679998,5.9,9,12.964998,216.86998,19.7352,27.975832,77.666664,66.125,1008.6884,28.44,216.86998,91.0,56.0,100.0,32.0,11.024999,4.2846265,3.2399998,0.8049845,1010.68506,1006.61176,DKI1,1,Prophet's Birthday,0,Friday,4,9,248,3,1,76.4934882,168.38167645031336,921344.0,0.25399321933962266
2025-09-06,32.23,24.83,5.2,11,11.879999,7.59456,19.6632,27.709166,76.041664,80.958336,1009.2985,26.64,7.59456,90.0,52.0,100.0,28.0,11.415,4.1518216,3.2399998,0.35999998,1011.10596,1007.31195,DKI1,0,Hari Kerja,1,Saturday,5,9,249,3,1,61.7759948,157.68283517180134,921344.0,0.25399321933962266
2025-09-07,32.08,24.48,0.4,0,7.6367526,188.13002,20.6892,27.904999,71.666664,72.833336,1008.9002,17.64,188.13002,90.0,53.0,100.0,34.0,8.37,3.2190697,2.52,0.35999998,1011.1858,1006.41766,DKI1,0,Hari Kerja,1,Sunday,6,9,250,3,1,3.0547010400000003,107.50774203038837,921344.0,0.25399321933962266
2025-09-08,33.73,24.73,0.3,0,12.661564,188.13002,22.1832,28.42375,71.5,69.916664,1008.8073,28.44,188.13002,88.0,46.0,100.0,33.0,12.179999,4.956371,4.68,0.71999997,1010.6998,1006.2237,DKI1,0,Hari Kerja,0,Monday,0,9,251,3,1,3.7984692,178.6444502463944,921344.0,0.25399321933962266
2025-09-09,32.63,24.98,2.9,6,10.538843,163.30067,20.4444,28.1175,76.5,82.333336,1009.2258,23.039999,163.30067,92.0,51.0,100.0,36.0,11.054999,3.9855087,2.8799999,0.5091169,1011.2989,1006.41583,DKI1,0,Hari Kerja,0,Tuesday,1,9,252,3,1,30.5626447,139.0336242843059,921344.0,0.25399321933962266
2025-09-10,32.780003,24.73,8.3,11,11.440978,161.56496,19.0908,27.777916,80.041664,87.083336,1008.4544,28.44,161.56496,93.0,58.0,100.0,50.0,13.785,4.6541734,2.16,0.35999998,1010.39874,1005.6164,DKI1,0,Hari Kerja,0,Wednesday,2,9,253,3,1,94.9601174,144.14623619522953,921344.0,0.25399321933962266
