tanggal,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_gusts_10m_max,winddirection_10m_dominant,relative_humidity_2m_max,relative_humidity_2m_min,cloud_cover_max,cloud_cover_min,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,surface_pressure_max,surface_pressure_min
2025-09-01,32.45,24.85,1.0,2,15.379206,126.86998,20.6892,28.039583,73.25,44.75,1008.2536,34.92,126.86998,85.0,51.0,95.0,0.0,21.495,9.35342,10.799999,5.1165614,1009.96484,1005.9799
2025-09-02,32.95,25.25,0.0,0,18.998316,111.801476,21.1356,28.362501,70.541664,41.875,1008.6418,40.68,111.801476,87.0,47.0,100.0,0.0,24.06,10.715553,11.5199995,5.692099,1010.5702,1006.2853
2025-09-03,33.8,24.85,0.0,0,20.63023,119.357666,24.174,28.529167,69.833336,40.0,1009.13763,45.36,119.357666,89.0,45.0,89.0,0.0,25.455,11.09547,13.32,5.634891,1011.1718,1006.8841
2025-09-04,32.35,25.1,0.0,0,16.485485,129.80553,21.474,28.220833,73.791664,46.375,1008.8078,37.44,129.80553,87.0,53.0,100.0,0.0,22.275,9.356357,9.0,3.8939953,1010.972,1006.6795
2025-09-05,31.15,25.3,2.6,4,11.159999,180.0,21.0312,28.091667,78.541664,60.916668,1009.17365,30.599998,180.0,91.0,63.0,99.0,30.0,14.174999,4.853365,4.68,0.35999998,1011.07056,1007.0784
2025-09-06,31.4,25.0,3.5,4,11.440978,158.19853,20.9304,27.7875,75.416664,78.875,1009.80524,28.08,158.19853,88.0,57.0,100.0,22.0,15.764999,6.1727333,7.92,1.8,1011.5752,1007.87384
2025-09-07,31.45,25.1,0.2,1,10.538843,208.61037,20.8476,27.816666,71.583336,69.708336,1009.4224,25.56,208.61037,89.0,55.0,100.0,7.0,14.13,5.613926,5.3999996,2.5455842,1011.5638,1007.17645
2025-09-08,32.6,25.1,0.2,1,13.627795,123.690094,22.1652,28.19375,72.916664,67.541664,1009.3322,33.48,123.690094,90.0,49.0,100.0,32.0,15.899999,6.2349834,5.3999996,2.3051248,1011.1712,1007.0775
2025-09-09,31.75,25.8,0.3,1,10.594036,44.999897,20.5776,28.21875,76.541664,84.833336,1009.74854,25.919998,44.999897,91.0,57.0,100.0,35.0,12.329999,4.70093,2.8799999,0.5091169,1011.7712,1007.07806
2025-09-10,30.9,25.2,4.2,9,12.181625,189.46225,19.9764,27.852083,80.875,81.916664,1008.9731,32.039997,189.46225,94.0,63.0,100.0,39.0,17.01,6.0707383,5.04,1.2979984,1010.971,1006.1794
2025-09-11,30.55,25.15,3.5,9,10.446206,158.19853,18.576,27.439583,80.041664,90.5,1009.05493,28.44,158.19853,89.0,64.0,100.0,55.0,15.704999,5.8013206,7.92,0.5091169,1011.0624,1006.87427
2025-09-12,31.65,25.1,10.7,8,12.371645,238.39255,18.7524,27.63125,80.5,96.208336,1009.62994,32.399998,238.39255,92.0,61.0,100.0,76.0,15.044999,5.736243,6.8399997,1.484318,1011.3615,1006.977
2025-09-13,31.8,25.15,0.0,0,13.039754,3.2704222,23.472,28.302084,76.041664,45.458332,1009.9694,28.44,3.2704222,90.0,57.0,100.0,4.0,15.134999,6.4356933,8.64,1.0182338,1011.86975,1007.87866
